Paula Ferreira Alves;361.406.218-82;08/11/1990;"6672,61"

Carlos Rodrigues Rodrigues,116.739.206-39,15/12/1978,"18225,6"
Gabriel Pereira Alves,237.403.758-96,01/03/2023,OUTROS
João Rodrigues Rodrigues,318.763.649-20,01/08/2010,OUTROS

Pedro Lima Souza,606.866.742-73,29/11/1983,"12744,6"
Pedro Santos Rodrigues,774.532.266-60,22/07/2018,OUTROS

Juliana Santos Silva,956.267.366-89,23/11/1966,"19288,82"
Pedro Alves Santos,141.426.807-32,21/09/2016,SOBRINHO
Maria Souza Silva,417.167.517-26,19/11/2011,OUTROS
Paula Silva Souza,116.633.635-35,11/10/2017,SOBRINHO
Camila Rodrigues Santos,374.426.145-51,31/8/2007,FILHO

Camila Pereira Alves,174.555.640-40,19/08/1976,"6087,39"
Fernanda Ferreira Silva,857.757.480-79,14/02/2020,OUTROS

Luiz Alves Gomes,885.806.933-32,15/3/1996,"11608,87"
Luiz Rodrigues Pereira,481.252.901-13,24/12/2008,SOBRINHO
Gabriel Rodrigues Souza,799.963.521-48,01/08/2015,SOBRINHO
Rafael Alves Pereira,738.758.577-56,09/01/2021,SOBRINHO
Marcos Santos Oliveira,362.711.674-30,15/08/2007,FILHO

Rafael Pereira Oliveira,817.816.843-71,09/07/1972,"10738,12"
Antonio Pereira Alves,450.533.610-86,15/6/2017,OUTROS
Ana Oliveira Alves,686.736.693-80,04/03/2005,FILHO
Maria Santos Ferreira,353.927.729-96,1/10/2005,SOBRINHO
Juliana Alves Santos,198.620.942-34,13/11/2013,OUTROS

Maria Alves Silva,117.631.854-33,22/06/1967,"17784,09"
Ricardo Pereira Oliveira,159.721.438-83,11/10/2023,SOBRINHO
Juliana Ferreira Rodrigues,300.284.110-31,15/01/2022,FILHO
Paula Silva Ferreira,443.739.871-19,12/06/2006,SOBRINHO
Larissa Gomes Santos,216.924.549-48,30/03/2009,OUTROS
José Oliveira Souza,965.711.923-39,14/12/2010,FILHO

Beatriz Santos Oliveira,781.966.422-91,16/03/1984,"7006,71"
Rafael Silva Ferreira,407.834.298-28,01/06/2010,OUTROS
Beatriz Silva Ferreira,273.989.237-79,29/04/2015,OUTROS

José Gomes Gomes,592.885.537-38,11/09/1996,"3451,67"

Marcos Silva Oliveira,144.904.349-42,11/03/1976,"14472,99"

Letícia Lima Ferreira,818.977.584-59,2/11/1966,"14985,24"

Carlos Souza Oliveira,815.358.847-60,01/06/1984,"18802,99"
Rafael Rodrigues Rodrigues,361.498.311-70,09/03/2015,FILHO
Ana Pereira Oliveira,444.181.569-76,07/04/2018,SOBRINHO
Marcos Santos Souza,183.328.425-32,17/05/2011,FILHO
Camila Souza Santos,904.530.624-59,20/01/2019,OUTROS

Rafael Rodrigues Lima,817.346.152-76,25/01/1973,"8312,52"
Marcos Pereira Silva,150.355.812-20,01/06/2017,FILHO
Luiz Ferreira Santos,973.911.806-98,05/04/2007,SOBRINHO
Letícia Oliveira Silva,926.342.309-33,31/12/2018,OUTROS
José Oliveira Souza,117.185.511-94,13/12/2009,FILHO

