Ricardo Martins Pereira;74016873720;29/08/1992;12530.83
Carlos Pereira;51914255704;14/05/1994;OUTROS

Pedro Lopes Vieira;96343619356;14/05/1986;7456.32
Luiz Lima;63513142757;02/08/2015;FILHO

Gabriel Souza Soares;55231120545;21/10/2004;4264.61
Luiz Souza;04641305064;02/03/2002;FILHO

Juliana Soares Silva;92157075062;17/02/1963;8624.69
Bruna Ribeiro;70438478428;30/06/1986;OUTROS

José Soares Costa;83669478663;04/10/1963;11391.84
José Alves;73700321678;02/01/1999;FILHO

Marcos Silva Vieira;88859460204;03/02/2004;5238.76
Ricardo Gomes;50351421408;22/04/1989;OUTROS

Ricardo Ribeiro Soares;65291243651;29/09/1980;5564.16
Gabriel Gomes;99942952411;14/09/2013;FILHO

Gabriel Lopes Soares;00087260000;26/06/1990;14447.18
Bruna Ribeiro;75498065000;31/05/2003;FILHO

Juliana Gomes Barbosa;34717457188;26/12/1994;6008.71
Rafael Almeida;34468381396;19/08/1998;FILHO

Larissa Fernandes Rodrigues;13581662930;20/08/1970;5932.6
José Souza;44347094965;03/09/2017;AFILHADO

Ricardo Santos Souza;19511965549;17/01/1988;3828.68
José Alves;35233087804;05/06/2010;AFILHADO

Lucas Pereira Lopes;31357250576;19/05/1969;4868.41
Pedro Barbosa;30655831940;01/01/2005;AFILHADO

Pedro Lima Alves;11064833756;17/07/1968;5272.23
Juliana Vieira;20601796292;10/06/1995;OUTROS

Amanda Ribeiro Costa;57435774634;02/07/1997;7380.78
Bruna Souza;64635265250;31/03/2003;FILHO

Maria Soares Lopes;06991858153;03/08/1964;3038.0
Ana Fernandes;96417953254;18/06/1991;AFILHADO

Ricardo Lopes Carvalho;09513803465;25/01/1996;10554.75
João Rodrigues;50354491814;05/07/1999;OUTROS

Paula Souza Barbosa;75228187960;10/06/1980;14368.83
Maria Lima;04928647050;07/03/2013;OUTROS

Pedro Silva Fernandes;32918163074;21/04/2004;8442.34
Marcos Barbosa;96659509917;01/05/2002;AFILHADO

Pedro Lima Santos;57330766151;21/07/1974;11639.17
Marcos Pereira;95637840903;02/09/1988;OUTROS

Carlos Carvalho Alves;51750944405;13/03/1963;3913.89
João Rodrigues;47728569007;16/07/2003;FILHO

Amanda Lopes Gomes;37527537736;25/10/1973;14650.41
Maria Gomes;22461358346;14/09/1995;AFILHADO

Juliana Pereira Rodrigues;23408526842;14/07/1990;10202.15
Lucas Souza;31713835860;04/12/2005;OUTROS

Rafael Martins Almeida;46854368227;29/10/1964;6968.68
Amanda Oliveira;56095118522;24/02/2015;AFILHADO

Ana Fernandes Santos;40495107743;27/10/1996;8441.56
Pedro Costa;21907843957;08/07/2007;OUTROS

Carlos Souza Gomes;51075305675;04/04/1985;14180.12
Juliana Silva;29157551162;12/05/2015;AFILHADO

Marcos Ribeiro Pereira;13153739552;31/07/1962;3834.49
Lucas Silva;30787381675;15/04/2017;AFILHADO

Beatriz Lopes Lopes;77209420860;11/08/1973;3169.35
Maria Lopes;09972340163;08/01/2003;OUTROS

Rafael Santos Costa;25558636645;26/11/2001;6378.6
Maria Costa;69758470701;26/01/1988;OUTROS

João Barbosa Pereira;33705015974;19/04/1995;3590.52
Amanda Costa;75833057728;09/09/2015;FILHO

Ricardo Lima Pereira;12863380184;13/01/1985;7745.82
José Oliveira;70727399985;04/09/2009;OUTROS

Larissa Almeida Silva;99597540495;01/04/1979;14775.16
Juliana Alves;60627144527;01/07/2000;AFILHADO

Fernanda Gomes Costa;76098831076;18/07/1992;5650.54
Marcos Souza;02955765708;10/08/2011;OUTROS

Juliana Santos Ferreira;80561555893;04/12/1983;10296.5
Marcos Rodrigues;86042960342;16/02/1995;OUTROS

Larissa Rodrigues Vieira;57650545288;05/11/1973;7332.86
Bruna Soares;82324881829;10/09/1995;OUTROS

José Souza Ribeiro;22833717598;14/09/1961;14022.36
José Alves;34020362742;04/03/1999;AFILHADO

Carlos Barbosa Soares;82057394638;11/11/2004;14097.22
Gabriel Vieira;78611721632;12/03/2008;FILHO

Marcos Gomes Pereira;23458930019;27/12/1982;9417.69
Bruna Lima;03039977105;31/07/1992;FILHO

Carlos Soares Alves;58018761973;01/10/1966;3439.71
Luiz Gomes;25641146870;23/10/1994;OUTROS

Lucas Silva Fernandes;40252717538;25/12/1983;6694.73
Ricardo Silva;59884308055;17/11/2003;OUTROS

Luiz Almeida Silva;21011404893;05/01/2003;10498.73
José Souza;29848687068;24/01/2018;FILHO

Rafael Oliveira Rodrigues;50312481578;10/07/1975;12255.3
Luiz Vieira;96953144653;12/08/1997;FILHO

Ricardo Gomes Rodrigues;60541484788;13/04/1998;10718.07
Ricardo Ferreira;00384579035;24/08/2012;OUTROS

Maria Silva Lima;14507041406;12/03/1972;8597.46
João Gomes;73310406857;23/07/2006;OUTROS

Luiz Carvalho Pereira;27654959982;04/01/1965;13356.26
Larissa Vieira;25676640251;26/05/2000;OUTROS

Ricardo Silva Almeida;61887114602;11/11/2000;5076.2
Ricardo Oliveira;34701369470;24/12/1994;AFILHADO

Maria Souza Ferreira;98307271061;31/08/1965;8939.37
José Alves;29814019712;29/06/2018;FILHO

Lucas Ribeiro Carvalho;03899630203;20/08/1985;10063.01
Camila Santos;35086481929;03/07/1992;FILHO

Carlos Santos Santos;96343107614;22/06/1987;3172.46
Camila Santos;98707630573;10/09/2008;OUTROS

Carlos Ferreira Oliveira;83834526320;04/03/1969;9031.07
Carlos Souza;62441881957;22/02/2018;OUTROS

Ana Almeida Lima;73108342592;19/09/1965;12414.23
Amanda Ferreira;11543903657;23/05/1995;OUTROS
