Otavio Oliveira;98274581279;15/07/1988;2129.91
Sandra Oliveira;23924930209;03/05/2015;DEPENDENTE
Fernanda Ferreira;30869053408;13/12/2016;FILHO
Yara Pereira;84442075978;16/12/2011;FILHO

Daniela Alves;72273954453;19/03/1976;10163.42
Larissa Oliveira;09401011189;31/12/2023;SOBRINHO
Gabriel Teixeira;45867529761;01/03/2022;DEPENDENTE
Paula Santos;94303775997;20/11/2012;SOBRINHO
Ursula Teixeira;12177877978;31/05/2011;DEPENDENTE

Helena Ribeiro;08932609261;06/06/1961;3144.34

Igor Costa;94798376305;13/11/1991;6882.56
Fernanda Souza;49728283981;28/05/2012;DEPENDENTE

Carlos Silva;70625876359;03/01/1960;13546.33
Helena Teixeira;64162939495;13/09/2009;SOBRINHO
Marcos Oliveira;74862744740;22/10/2012;SOBRINHO
Sandra Ribeiro;16910099258;24/10/2023;DEPENDENTE
Zeca Silva;09531071931;09/11/2018;DEPENDENTE

Vinicius Silva;67133490978;07/05/1999;7671.55
Carlos Santos;59254210045;22/04/2022;FILHO

Daniela Teixeira;88203886501;02/07/1992;7596.03
Ana Ribeiro;78023640447;09/07/2007;FILHO
Helena Gomes;51052803347;03/09/2008;FILHO

Helena Martins;15542895974;03/06/1994;6413.71
Vinicius Ribeiro;08932609261;02/04/2009;DEPENDENTE

Eduardo Rodrigues;74169319138;20/11/1969;14144.67
Zeca Ferreira;24933505402;04/04/2014;DEPENDENTE
Paula Silva;36353198895;08/02/2016;SOBRINHO
Otavio Gomes;95672552380;19/12/2011;FILHO

Marcos Pereira;68259601852;08/08/2000;2504.07
Ana Souza;16318096781;14/01/2007;SOBRINHO
Natalia Santos;68198264494;08/09/2014;SOBRINHO
Paula Ribeiro;87053367217;27/01/2023;DEPENDENTE

Ana Santos;64618809458;17/05/1985;14014.98
Larissa Souza;14162857641;12/01/2017;SOBRINHO
Bruno Carvalho;97018035736;07/08/2008;FILHO
Zeca Ferreira;17078659749;25/06/2008;DEPENDENTE

Otavio Pereira;76066797496;21/05/1967;3225.1
Fernanda Silva;74039809979;05/07/2010;FILHO

Yara Costa;14162857641;04/05/1961;11614.87
Daniela Pereira;01270465588;17/05/2022;FILHO
Helena Ferreira;64577767677;30/01/2016;FILHO
Kevin Costa;64622498979;04/03/2010;SOBRINHO

Zeca Carvalho;88203886501;30/12/1968;5576.81
Larissa Lima;56560991471;30/06/2018;FILHO
Eduardo Carvalho;79365854108;09/04/2010;SOBRINHO
Yara Santos;24874937332;20/08/2012;FILHO
Sandra Teixeira;08596408678;10/02/2015;FILHO

Vinicius Ferreira;66845416049;18/07/1961;11012.18
Carlos Ferreira;83955122761;02/12/2009;DEPENDENTE

Otavio Souza;27477589532;11/08/1985;14344.59
Julia Martins;28846433182;28/09/2020;FILHO

Ricardo Gomes;23924930209;11/04/1990;2409.31

Fernanda Teixeira;71590871019;19/05/1989;3675.98
Vinicius Costa;68198264494;23/04/2007;SOBRINHO
Natalia Lima;95935878075;27/10/2010;DEPENDENTE

Paula Gomes;05223618098;09/09/1998;9698.43
Otavio Souza;59209624100;24/11/2023;FILHO
Eduardo Carvalho;74862744740;30/09/2021;SOBRINHO

Helena Alves;60424980435;28/02/1987;3059.6
Fernanda Rodrigues;47373139601;19/08/2019;DEPENDENTE

Ricardo Gomes;17748728926;26/09/1980;4996.32
Carlos Ribeiro;73112249307;01/06/2009;DEPENDENTE
Larissa Lima;43685029446;24/02/2018;FILHO
Igor Ferreira;41016587744;02/06/2006;FILHO
Wagner Lima;28846433182;04/11/2010;DEPENDENTE

Vinicius Lima;53114542331;17/06/1960;6811.34
Natalia Santos;79156733395;11/04/2020;SOBRINHO
Carlos Ferreira;27477589532;22/10/2016;DEPENDENTE
Fernanda Martins;08805471695;10/10/2010;SOBRINHO
Yara Teixeira;14410682818;15/05/2008;DEPENDENTE

Marcos Costa;70689821762;19/09/1965;7859.4
Thiago Carvalho;80528120835;12/11/2020;SOBRINHO
Yara Gomes;75878084967;04/06/2012;SOBRINHO
Ursula Silva;44201273095;05/03/2008;FILHO
Larissa Souza;93483940385;14/05/2011;SOBRINHO

Natalia Rodrigues;76066797496;19/01/1971;9367.49
Igor Martins;18696434408;25/09/2015;SOBRINHO

Gabriel Carvalho;96540106827;24/10/1982;13612.62
Larissa Lima;96540106827;28/07/2016;SOBRINHO
Paula Oliveira;88797801144;29/12/2011;DEPENDENTE

Ricardo Ferreira;14162857641;19/01/1997;11458.23
Marcos Costa;72273954453;08/01/2010;FILHO
Kevin Oliveira;68948475714;08/06/2016;FILHO
Otavio Silva;19572293808;18/05/2022;SOBRINHO

Zeca Santos;44201273095;17/09/1990;13227.2
Otavio Gomes;89528316246;13/12/2006;FILHO

Sandra Gomes;08805471695;01/07/1991;6268.91

Yara Oliveira;31311917164;20/02/1967;14316.22
Wagner Alves;68198264494;26/06/2016;FILHO
Daniela Alves;56560991471;28/05/2015;DEPENDENTE
Daniela Oliveira;08981679352;06/02/2018;DEPENDENTE
Daniela Pereira;89537846963;16/07/2006;SOBRINHO

Helena Ribeiro;92660306918;12/06/1973;8838.12

Ricardo Martins;95935878075;01/12/1976;9920.79
Ricardo Costa;76066797496;10/06/2023;FILHO
Paula Ribeiro;78239818541;14/04/2015;DEPENDENTE
Yara Oliveira;27477589532;27/03/2015;DEPENDENTE

Ana Lima;43123689357;07/04/1984;6659.52
Helena Ribeiro;64618809458;25/08/2019;DEPENDENTE
Vinicius Ferreira;08981679352;09/01/2007;SOBRINHO
Daniela Costa;08981679352;15/03/2017;SOBRINHO

Zeca Gomes;18471573649;06/04/1988;11265.99
Thiago Silva;92088767404;02/07/2019;SOBRINHO

Yara Rodrigues;23943516786;11/10/1987;10011.85
Paula Carvalho;27477589532;18/09/2021;SOBRINHO
Vinicius Costa;31605545210;21/07/2022;FILHO
Ricardo Martins;89982105515;18/03/2020;DEPENDENTE
Sandra Teixeira;67133490978;15/09/2020;SOBRINHO

Thiago Silva;47373139601;27/12/1978;13726.91
Gabriel Lima;64162939495;01/09/2006;DEPENDENTE
Paula Pereira;49699524343;12/12/2013;SOBRINHO

Yara Santos;59209624100;31/07/1990;14222.51
Paula Silva;22587933006;20/04/2005;DEPENDENTE

Yara Oliveira;44752965248;12/04/1995;3567.24

Zeca Carvalho;94798376305;26/09/1984;2650.19
Ricardo Gomes;44591405252;01/06/2012;FILHO
Ana Ferreira;72769120164;01/12/2020;DEPENDENTE

Kevin Oliveira;28077936544;09/07/1996;4350.9
Ana Souza;11738604173;13/06/2021;DEPENDENTE

Eduardo Ferreira;00735417378;03/05/1986;2913.0

Yara Pereira;56509777021;25/01/1972;10915.45
Julia Santos;15429210803;06/03/2015;SOBRINHO
Ana Pereira;96665417431;04/01/2016;SOBRINHO

Eduardo Ribeiro;14282489100;14/09/1987;4704.86
Ricardo Silva;72273954453;08/08/2010;DEPENDENTE
Zeca Costa;87053367217;24/08/2012;FILHO
Sandra Ferreira;97099557847;03/12/2018;FILHO

Larissa Gomes;47373139601;17/09/1974;7761.18

Otavio Ribeiro;21977962535;10/03/1993;7416.86
Daniela Silva;71776971734;11/08/2007;FILHO
Otavio Gomes;16109540553;01/04/2017;DEPENDENTE
Natalia Lima;68817472232;20/07/2014;SOBRINHO
Ursula Souza;09401011189;19/01/2014;DEPENDENTE

Marcos Lima;75878084967;29/04/1993;10373.51
Larissa Ribeiro;83095049684;20/07/2013;FILHO
Sandra Costa;30869053408;23/02/2009;SOBRINHO
Wagner Teixeira;68892496126;21/12/2015;DEPENDENTE
Kevin Souza;44752965248;06/12/2005;FILHO

Gabriel Costa;51052803347;23/10/1974;8556.62
Sandra Martins;52261546857;29/12/2008;FILHO
Kevin Ribeiro;92088767404;12/06/2016;FILHO
Kevin Rodrigues;53748917314;09/04/2009;DEPENDENTE

Sandra Souza;28846433182;15/02/1978;7356.2
Marcos Ribeiro;31638213043;20/02/2019;FILHO

Kevin Souza;64140358408;28/07/1998;9106.22
Fernanda Lima;17711566342;16/08/2010;FILHO
Yara Lima;81925983898;13/09/2008;SOBRINHO

Gabriel Lima;92088767404;25/03/1964;4892.72
Larissa Rodrigues;77345437132;28/02/2011;FILHO
Kevin Rodrigues;77616359704;24/05/2018;DEPENDENTE
Sandra Souza;77547075971;08/10/2007;DEPENDENTE

Natalia Teixeira;00191502907;05/09/1981;2691.01
Bruno Lima;75561892202;15/03/2005;DEPENDENTE
Sandra Martins;46456390184;22/06/2008;DEPENDENTE
Ursula Gomes;97018035736;04/02/2023;DEPENDENTE

Vinicius Ribeiro;70625876359;15/05/1969;11189.58

Daniela Carvalho;30610903853;27/09/1963;13971.82

Yara Ferreira;24933505402;19/05/1972;4407.76
Gabriel Martins;47824989696;11/12/2007;SOBRINHO

Thiago Souza;79365854108;15/10/1979;3848.8
Sandra Santos;16569176651;24/10/2019;DEPENDENTE
Julia Souza;12833064008;29/11/2008;DEPENDENTE

Bruno Lima;40265386599;30/07/1994;5619.0
Zeca Lima;21977962535;17/11/2011;SOBRINHO

Ursula Santos;77616359704;15/08/1966;5768.97
Wagner Rodrigues;64622498979;01/05/2006;FILHO

Yara Alves;30228518745;14/08/1983;6763.51
Gabriel Santos;28846433182;20/05/2023;FILHO

Bruno Carvalho;79125913951;28/01/1989;2245.18

Julia Pereira;68817472232;03/08/1991;14492.63
Eduardo Oliveira;13215452360;19/06/2011;DEPENDENTE
Julia Lima;27813131772;21/02/2020;SOBRINHO
Marcos Souza;08680475004;09/10/2012;FILHO
Otavio Ribeiro;26764004796;14/11/2016;DEPENDENTE

Paula Gomes;31605545210;04/11/1996;2473.02

Larissa Teixeira;65570372732;30/06/1968;13150.0
Julia Santos;24313033986;04/12/2016;FILHO
Wagner Lima;60468979241;15/04/2015;SOBRINHO
Ana Teixeira;82070694054;03/06/2008;SOBRINHO
Sandra Souza;33649431532;18/01/2006;DEPENDENTE

Helena Pereira;48750159411;17/09/1999;9165.68

Marcos Ferreira;46456390184;20/01/1974;2400.4
Bruno Gomes;96665417431;21/04/2008;DEPENDENTE
